Дата начисления;Группа услуг;Тип начисления;Артикул;Название товара;Количество;Цена продавца;Вознаграждение Ozon, %;Сумма итого, руб.
23.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-20,00 ₽
23.01.2026;Услуги партнёров;Доставка до места выдачи;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-7,59 ₽
23.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;0;0,00 ₽;0%;-100,00 ₽
25.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-05H;Юннань FOP чёрный чай 500 гр;1;2 240,00 ₽;35%;-10,00 ₽
25.01.2026;Услуги доставки;Логистика;DU-05H;Юннань FOP чёрный чай 500 гр;1;2 240,00 ₽;35%;-117,94 ₽
25.01.2026;Продажи;Выручка;DU-05H;Юннань FOP чёрный чай 500 гр;1;2 240,00 ₽;0%;1 655,24 ₽
25.01.2026;Продажи;Программы партнёров;DU-05H;Юннань FOP чёрный чай 500 гр;1;2 240,00 ₽;0%;0,00 ₽
25.01.2026;Продажи;Баллы за скидки;DU-05H;Юннань FOP чёрный чай 500 гр;1;2 240,00 ₽;0%;584,76
25.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-05H;Юннань FOP чёрный чай 500 гр;1;2 240,00 ₽;35%;-784,00 ₽
25.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-05H;Юннань FOP чёрный чай 500 гр;1;2 240,00 ₽;35%;-20,00 ₽
25.01.2026;Услуги партнёров;Доставка до места выдачи;DU-05H;Юннань FOP чёрный чай 500 гр;1;2 240,00 ₽;35%;-16,25 ₽
25.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;0;0,00 ₽;0%;-50,00 ₽
29.01.2026;Другие услуги и штрафы;Утилизация товара: Вы не забрали в срок;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ₽;0%;-75,00 ₽
04.02.2026;Услуги партнёров;Эквайринг;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ₽;0%;-35,90 ₽
